province,district,municipality,adm1_pcode,adm2_pcode,adm3_pcode,ward,theme,variable,value
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,male_50_54_yrs,26
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,male_55_59_yrs,23
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,male_60_64_yrs,14
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,male_65_69_yrs,20
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,male_70_74_yrs,21
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,male_75_79_yrs,13
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,male_80_84_yrs,1
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,male_85_89_yrs,3
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,male_90_94_yrs,1
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,male_95plus_yrs,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,female_all_ages,406
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,female_00_04_yrs,49
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,female_05_09_yrs,27
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,female_10_14_yrs,11
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,female_15_19_yrs,35
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,female_20_24_yrs,33
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,female_25_29_yrs,30
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,female_30_34_yrs,27
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,female_35_39_yrs,20
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,female_40_44_yrs,38
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,female_45_49_yrs,23
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,female_50_54_yrs,30
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,female_55_59_yrs,17
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,female_60_64_yrs,22
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,female_65_69_yrs,11
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,female_70_74_yrs,20
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,female_75_79_yrs,7
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,female_80_84_yrs,5
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,female_85_89_yrs,1
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,female_90_94_yrs,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,female_95plus_yrs,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,school attendance,total_children_5_17,113
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,school attendance,male_children_5_17,61
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,school attendance,female_children_5_17,52
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,school attendance,currently_attending_school_male,35
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,school attendance,currently_attending_school_female,36
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,school attendance,oos_ever_attended_school_male,3
