province,district,municipality,adm1_pcode,adm2_pcode,adm3_pcode,ward,theme,variable,value
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,sanitation,toilet_public,1
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,sanitation,toilet_no_toilet,1
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,household amenities,hh_amenities_without,125
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,household amenities,hh_amenities_at_least_one,158
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,household amenities,hh_amenities_radio,40
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,household amenities,hh_amenities_television,46
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,household amenities,hh_amenities_landline,3
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,household amenities,hh_amenities_mobile_phone_ordinary,122
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,household amenities,hh_amenities_mobile_phone_smart,36
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,household amenities,hh_amenities_computer_laptop,2
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,household amenities,hh_amenities_internet,12
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,household amenities,hh_amenities_car_jeep_van,2
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,household amenities,hh_amenities_motorcycle_scooter,12
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,household amenities,hh_amenities_bicycle,2
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,household amenities,hh_amenities_electric_fan,2
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,household amenities,hh_amenities_refridgerator,1
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,household amenities,hh_amenities_washing_machine,1
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,household amenities,hh_amenities_air_conditioner,1
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,wealth quintile,wealth_quintile_poorest_quintile_count,225
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,wealth quintile,wealth_quintile_poorer_quintile_count,47
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,wealth quintile,wealth_quintile_middle_quintile_count,11
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,wealth quintile,wealth_quintile_richer_quintile_count,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,wealth quintile,wealth_quintile_richest_quintile_count,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,wealth quintile,wealth_quintile_poorest_quintile_pc,79.51
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,wealth quintile,wealth_quintile_poorer_quintile_pc,16.61
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,wealth quintile,wealth_quintile_middle_quintile_pc,3.89
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,wealth quintile,wealth_quintile_richer_quintile_pc,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,wealth quintile,wealth_quintile_richest_quintile_pc,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,housing,house_quality_most_adequate_count,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,housing,house_quality_adequate_count,9
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,housing,house_quality_moderate_count,138
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,housing,house_quality_inadequate_count,135
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,housing,house_quality_least_adequate_count,1
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,housing,house_quality_most_adequate_pc,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,housing,house_quality_adequate_pc,3.18
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,housing,house_quality_moderate_pc,48.76
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,housing,house_quality_inadequate_pc,47.7
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,housing,house_quality_least_adequate_pc,0.35
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,demographics,total_households,163
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,housing,home_ownership_owned,105
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,housing,home_ownership_rented,46
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,housing,home_ownership_institutional,12
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,housing,home_ownership_other,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,housing,foundation_mud,2
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,housing,foundation_mud_bonded_bricks_stone,34
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,housing,foundation_cement_bonded_bricks_stone,37
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,housing,foundation_reinforced_cement_concrete_with_pillars,90
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,housing,foundation_wooden_pillars,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,housing,outer_wall_mud_bonded_bricks_stone,3
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,housing,outer_wall_cement_bonded_bricks_stone,82
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,housing,outer_wall_wood_planks,5
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,housing,outer_wall_bamboo,1
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,housing,outer_wall_unbaked_bricks,1
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,housing,outer_wall_galvanised_sheet,71
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,housing,outer_wall_prefabricated_sheet,0
