district,adm2_pcode,municipality,adm3_pcode,ward,projection_2026_population_total,flash_appeal_affected,rdna_affected,impacted_buildings,average_household_size,population_pc_urban,improved_drinking_water_hhd,no_toilet_public_toilet_hhd,wealth_quintile_poorest_quintile_hhd,wealth_quintile_poorest_quintile_pc,Protection_individuals_reached,Health & Nutrition_individuals_reached,Shelter_individuals_reached,WASH_individuals_reached,Education_individuals_reached,Food Security_individuals_reached,NA_individuals_reached,Logistics_individuals_reached,ETC_individuals_reached,Early Recovery_individuals_reached
Dhading,NP0330,Galchhi,NP0330410,4,3222,1,1,8,4.163834951456311,0,665,33,136,16.5,32,4,350,NA,77,NA,NA,NA,NA,NA
Dhading,NP0330,Galchhi,NP0330410,6,2691,1,1,14,3.915862068965517,100,668,17,50,6.9,59,7,113,NA,681,NA,NA,NA,NA,NA
Dhading,NP0330,Galchhi,NP0330410,8,2964,1,1,28,3.8726823238566137,0,389,31,118,14.59,NA,NA,408,150,NA,500,NA,NA,NA,NA
Dhading,NP0330,Gajuri,NP0330409,1,5214,1,1,NA,3.730203223545901,100,1336,53,89,6.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dhading,NP0330,Gajuri,NP0330409,2,4076,1,1,95,4.0802707930367506,0,933,45,213,20.6,145,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dhading,NP0330,Gajuri,NP0330409,5,3788,1,1,10,4.0806282722513085,0,908,15,126,13.19,57,13,650,200,70,NA,NA,184,NA,NA
Dhading,NP0330,Gajuri,NP0330409,6,4625,1,1,2,4.246672582076309,0,960,65,189,16.77,74,24,NA,56,NA,NA,NA,NA,NA,NA
Dhading,NP0330,Benighat Rorang,NP0330408,3,4532,1,1,553,3.947014297729184,0,1015,42,91,7.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dhading,NP0330,Benighat Rorang,NP0330408,5,3049,1,1,30,4.118798955613577,0,690,10,43,5.61,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dhading,NP0330,Benighat Rorang,NP0330408,7,2886,1,1,224,4.143254520166899,0,672,11,92,12.8,NA,NA,50,NA,NA,NA,NA,NA,NA,NA
