province,district,municipality,adm1_pcode,adm2_pcode,adm3_pcode,ward,total_households,home_ownership_owned,home_ownership_rented,home_ownership_institutional,home_ownership_other,foundation_mud,foundation_mud_bonded_bricks_stone,foundation_cement_bonded_bricks_stone,foundation_reinforced_cement_concrete_with_pillars,foundation_wooden_pillars,outer_wall_mud_bonded_bricks_stone,outer_wall_cement_bonded_bricks_stone,outer_wall_wood_planks,outer_wall_bamboo,outer_wall_unbaked_bricks,outer_wall_galvanised_sheet,outer_wall_prefabricated_sheet,outer_wall_other,roof_galvanised_sheet,roof_reinforced_cement_concrete,roof_thatch_straw,roof_tile,roof_stone_slate,roof_wood_planks,roof_mud,roof_other,floor_mud,floor_wooden_plank_bamboo,floor_bricks_stone,floor_ceramic_tile,floor_cemented,floor_other,drinking_water_tap_piped_within_premises,drinking_water_tap_piped_outside_premises,drinking_water_tubewell_handpump,drinking_water_covered_well_kuwa,drinking_water_uncovered_well_kuwa,drinking_water_spout_water,drinking_water_river_stream,drinking_water_jar_bottle,drinking_water_other,cooking_fuel_wood_firewood,cooking_fuel_lpg,cooking_fuel_electricity,cooking_fuel_cowdung,cooking_fuel_biogas,cooking_fuel_kerosene,cooking_fuel_other,lighting_electricity,lighting_solar,lighting_kerosene,lighting_biogas,lighting_other,toilet_flush_public_sewerage,toilet_flush_septic_tank,toilet_pit,toilet_public,toilet_no_toilet,hh_amenities_without,hh_amenities_at_least_one,hh_amenities_radio,hh_amenities_television,hh_amenities_landline,hh_amenities_mobile_phone_ordinary,hh_amenities_mobile_phone_smart,hh_amenities_computer_laptop,hh_amenities_internet,hh_amenities_car_jeep_van,hh_amenities_motorcycle_scooter,hh_amenities_bicycle,hh_amenities_electric_fan,hh_amenities_refridgerator,hh_amenities_washing_machine,hh_amenities_air_conditioner,wealth_quintile_poorest_quintile_count,wealth_quintile_poorer_quintile_count,wealth_quintile_middle_quintile_count,wealth_quintile_richer_quintile_count,wealth_quintile_richest_quintile_count,wealth_quintile_poorest_quintile_pc,wealth_quintile_poorer_quintile_pc,wealth_quintile_middle_quintile_pc,wealth_quintile_richer_quintile_pc,wealth_quintile_richest_quintile_pc,house_quality_most_adequate_count,house_quality_adequate_count,house_quality_moderate_count,house_quality_inadequate_count,house_quality_least_adequate_count,house_quality_most_adequate_pc,house_quality_adequate_pc,house_quality_moderate_pc,house_quality_inadequate_pc,house_quality_least_adequate_pc
Bagmati,Rasuwa,Kalika,NP03,NP0329,NP0329404,1,614,612,2,0,0,395,137,76,5,1,392,203,4,1,0,14,0,0,476,137,0,0,1,0,0,0,391,36,24,0,161,2,100,514,0,0,0,0,0,0,0,509,105,0,0,0,0,0,608,6,0,0,0,3,593,18,0,0,72,542,179,161,1,520,309,23,57,13,33,6,4,14,2,0,210,180,140,63,21,34.2,29.32,22.8,10.26,3.42,68,166,379,1,0,11.07,27.04,61.73,0.16,0
Bagmati,Rasuwa,Kalika,NP03,NP0329,NP0329404,2,682,657,22,3,0,74,391,212,3,2,72,598,2,0,0,9,0,1,300,373,1,0,7,0,0,1,91,9,1,2,578,1,455,223,0,0,3,0,1,0,0,315,364,0,0,2,0,1,669,9,4,0,0,43,563,74,0,2,23,659,317,353,32,582,586,154,350,21,159,33,52,99,5,0,26,39,230,221,166,3.81,5.72,33.72,32.4,24.34,310,309,61,2,0,45.45,45.31,8.94,0.29,0
Bagmati,Rasuwa,Kalika,NP03,NP0329,NP0329404,3,428,425,3,0,0,31,287,104,5,1,34,387,0,0,0,7,0,0,317,107,0,0,4,0,0,0,33,2,0,0,392,1,400,26,0,0,1,0,0,0,1,253,174,0,0,0,0,1,420,5,2,0,1,5,419,1,0,3,24,404,166,245,1,343,314,70,223,11,104,20,109,82,0,0,7,20,159,155,87,1.64,4.67,37.15,36.21,20.33,153,255,17,3,0,35.75,59.58,3.97,0.7,0
Bagmati,Rasuwa,Kalika,NP03,NP0329,NP0329404,4,249,249,0,0,0,57,190,2,0,0,49,199,1,0,0,0,0,0,197,52,0,0,0,0,0,0,15,4,0,0,230,0,235,12,0,0,2,0,0,0,0,240,9,0,0,0,0,0,247,2,0,0,0,3,243,2,1,0,3,246,146,65,1,234,124,8,16,3,21,5,28,19,2,0,7,37,175,26,4,2.81,14.86,70.28,10.44,1.61,6,230,13,0,0,2.41,92.37,5.22,0,0
Bagmati,Rasuwa,Kalika,NP03,NP0329,NP0329404,5,474,466,6,1,1,38,283,152,1,0,37,433,2,0,0,2,0,0,234,237,2,0,1,0,0,0,46,2,7,4,414,1,433,19,0,1,21,0,0,0,0,348,124,0,0,2,0,0,472,2,0,0,0,0,468,3,0,3,8,466,220,234,21,395,333,83,101,3,67,7,21,36,0,0,8,42,245,123,56,1.69,8.86,51.69,25.95,11.81,119,318,37,0,0,25.11,67.09,7.81,0,0
Bagmati,Dhading,Siddhalek,NP03,NP0330,NP0330407,3,682,674,7,0,1,465,173,42,2,0,418,260,0,1,1,2,0,0,419,142,1,1,119,0,0,0,357,8,2,2,310,3,153,405,3,0,5,90,25,0,1,527,152,0,1,2,0,0,672,7,2,0,1,1,289,389,1,2,42,640,380,260,2,580,313,13,106,1,34,5,99,23,0,0,223,199,174,68,18,32.7,29.18,25.51,9.97,2.64,75,188,374,45,0,11,27.57,54.84,6.6,0
Bagmati,Dhading,Siddhalek,NP03,NP0330,NP0330407,4,680,664,13,0,3,153,471,52,3,1,139,486,2,0,0,2,0,51,421,206,1,2,49,0,0,1,90,16,2,2,567,3,196,463,9,1,5,4,1,1,0,288,374,5,0,13,0,0,661,17,1,0,1,3,272,402,2,1,36,644,294,369,5,545,380,11,151,8,76,17,224,95,0,0,44,93,277,225,41,6.47,13.68,40.74,33.09,6.03,150,379,148,3,0,22.06,55.74,21.76,0.44,0
Bagmati,Dhading,Siddhalek,NP03,NP0330,NP0330407,6,735,726,9,0,0,427,227,73,8,0,363,351,7,0,0,6,0,8,413,228,3,0,90,1,0,0,221,16,1,2,483,12,62,487,0,0,17,168,0,1,0,486,208,3,0,33,4,1,722,7,3,0,3,17,193,487,2,36,55,680,215,337,6,603,317,30,76,8,73,25,263,122,2,1,189,205,165,141,35,25.71,27.89,22.45,19.18,4.76,84,241,377,33,0,11.43,32.79,51.29,4.49,0
Bagmati,Dhading,Siddhalek,NP03,NP0330,NP0330407,7,990,966,20,2,2,312,533,137,7,1,276,704,0,5,2,3,0,0,631,264,0,0,94,1,0,0,176,7,8,9,780,10,274,568,1,0,7,140,0,0,0,391,569,1,0,28,0,1,978,11,0,0,1,7,258,717,0,8,7,983,376,478,20,910,769,44,150,8,288,273,572,186,2,1,82,135,367,334,72,8.28,13.64,37.07,33.74,7.27,178,583,210,19,0,17.98,58.89,21.21,1.92,0
Bagmati,Dhading,Benighat Rorang,NP03,NP0330,NP0330408,3,1189,880,293,6,10,230,424,507,7,21,211,920,5,3,2,10,0,38,462,669,8,0,49,0,0,1,195,38,13,33,909,1,508,503,2,2,45,126,3,0,0,324,858,2,0,3,1,1,1177,2,6,0,4,16,1110,21,11,31,73,1116,216,686,40,744,918,194,437,48,343,76,722,381,48,5,91,117,251,375,355,7.65,9.84,21.11,31.54,29.86,699,262,203,24,1,58.79,22.04,17.07,2.02,0.08
