province,district,municipality,adm1_pcode,adm2_pcode,adm3_pcode,ward,total_households,home_ownership_owned,home_ownership_rented,home_ownership_institutional,home_ownership_other,foundation_mud,foundation_mud_bonded_bricks_stone,foundation_cement_bonded_bricks_stone,foundation_reinforced_cement_concrete_with_pillars,foundation_wooden_pillars,outer_wall_mud_bonded_bricks_stone,outer_wall_cement_bonded_bricks_stone,outer_wall_wood_planks,outer_wall_bamboo,outer_wall_unbaked_bricks,outer_wall_galvanised_sheet,outer_wall_prefabricated_sheet,outer_wall_other,roof_galvanised_sheet,roof_reinforced_cement_concrete,roof_thatch_straw,roof_tile,roof_stone_slate,roof_wood_planks,roof_mud,roof_other,floor_mud,floor_wooden_plank_bamboo,floor_bricks_stone,floor_ceramic_tile,floor_cemented,floor_other,drinking_water_tap_piped_within_premises,drinking_water_tap_piped_outside_premises,drinking_water_tubewell_handpump,drinking_water_covered_well_kuwa,drinking_water_uncovered_well_kuwa,drinking_water_spout_water,drinking_water_river_stream,drinking_water_jar_bottle,drinking_water_other,cooking_fuel_wood_firewood,cooking_fuel_lpg,cooking_fuel_electricity,cooking_fuel_cowdung,cooking_fuel_biogas,cooking_fuel_kerosene,cooking_fuel_other,lighting_electricity,lighting_solar,lighting_kerosene,lighting_biogas,lighting_other,toilet_flush_public_sewerage,toilet_flush_septic_tank,toilet_pit,toilet_public,toilet_no_toilet,hh_amenities_without,hh_amenities_at_least_one,hh_amenities_radio,hh_amenities_television,hh_amenities_landline,hh_amenities_mobile_phone_ordinary,hh_amenities_mobile_phone_smart,hh_amenities_computer_laptop,hh_amenities_internet,hh_amenities_car_jeep_van,hh_amenities_motorcycle_scooter,hh_amenities_bicycle,hh_amenities_electric_fan,hh_amenities_refridgerator,hh_amenities_washing_machine,hh_amenities_air_conditioner,wealth_quintile_poorest_quintile_count,wealth_quintile_poorer_quintile_count,wealth_quintile_middle_quintile_count,wealth_quintile_richer_quintile_count,wealth_quintile_richest_quintile_count,wealth_quintile_poorest_quintile_pc,wealth_quintile_poorer_quintile_pc,wealth_quintile_middle_quintile_pc,wealth_quintile_richer_quintile_pc,wealth_quintile_richest_quintile_pc,house_quality_most_adequate_count,house_quality_adequate_count,house_quality_moderate_count,house_quality_inadequate_count,house_quality_least_adequate_count,house_quality_most_adequate_pc,house_quality_adequate_pc,house_quality_moderate_pc,house_quality_inadequate_pc,house_quality_least_adequate_pc
Bagmati,Dhading,Galchhi,NP03,NP0330,NP0330410,4,824,734,85,2,3,302,289,218,13,2,281,496,6,4,1,13,0,23,514,244,4,0,59,0,0,3,236,7,4,3,570,4,573,92,0,0,18,125,16,0,0,447,364,2,0,9,1,1,813,7,3,0,1,33,382,376,11,22,24,800,457,462,40,692,522,70,360,32,206,41,327,187,13,2,136,117,238,182,151,16.5,14.2,28.88,22.09,18.33,200,336,222,66,0,24.27,40.78,26.94,8.01,0
Bagmati,Dhading,Galchhi,NP03,NP0330,NP0330410,6,725,574,141,1,9,135,389,166,25,10,117,555,3,0,0,44,0,6,293,402,2,0,26,2,0,0,118,13,11,21,555,7,292,334,31,11,34,15,0,0,8,218,506,0,1,0,0,0,715,8,0,0,2,84,577,47,0,17,20,705,573,486,66,602,526,128,355,40,256,55,510,226,36,3,50,70,150,217,238,6.9,9.66,20.69,29.93,32.83,401,191,116,17,0,55.31,26.34,16,2.34,0
Bagmati,Dhading,Galchhi,NP03,NP0330,NP0330410,8,809,775,30,1,3,223,505,70,11,0,223,576,1,1,0,8,0,0,629,177,1,2,0,0,0,0,197,18,12,5,572,5,14,369,2,4,127,292,0,0,1,654,150,1,0,4,0,0,775,31,0,1,2,4,329,445,19,12,36,773,575,339,6,724,389,22,191,5,130,3,149,62,3,2,118,168,351,134,38,14.59,20.77,43.39,16.56,4.7,66,379,257,107,0,8.16,46.85,31.77,13.23,0
Bagmati,Nuwakot,Bidur,NP03,NP0328,NP0328301,1,670,552,109,1,8,144,243,211,51,21,89,504,2,1,0,71,0,3,314,339,0,12,4,1,0,0,133,8,9,17,494,9,371,207,0,2,2,72,13,2,1,176,491,3,0,0,0,0,667,1,2,0,0,76,401,163,17,13,14,656,251,484,100,416,494,176,318,50,252,96,523,356,42,13,35,84,124,174,253,5.22,12.54,18.51,25.97,37.76,330,209,69,59,3,49.25,31.19,10.3,8.81,0.45
Bagmati,Nuwakot,Bidur,NP03,NP0328,NP0328301,3,1272,1264,7,1,0,245,558,460,8,1,150,1098,4,1,4,14,1,0,713,545,3,3,7,1,0,0,158,9,10,6,1080,9,523,356,0,65,38,282,7,1,0,614,621,2,5,27,3,0,1260,6,6,0,0,8,837,410,2,15,21,1251,939,797,11,1131,948,102,541,20,284,82,755,301,8,2,51,123,467,420,211,4.01,9.67,36.71,33.02,16.59,351,698,210,13,0,27.59,54.87,16.51,1.02,0
Bagmati,Nuwakot,Bidur,NP03,NP0328,NP0328301,4,1732,1126,561,31,14,63,503,1104,38,24,54,1605,4,6,6,47,0,10,308,1411,3,7,2,1,0,0,75,21,25,61,1531,19,1185,301,0,2,3,204,0,36,1,79,1645,7,0,1,0,0,1725,6,1,0,0,30,1057,627,9,9,16,1716,711,1245,234,1298,1616,586,1255,113,876,247,1483,1025,139,54,12,51,166,573,930,0.69,2.94,9.58,33.08,53.7,1161,471,88,12,0,67.03,27.19,5.08,0.69,0
Bagmati,Nuwakot,Bidur,NP03,NP0328,NP0328301,5,1437,1360,71,4,2,243,793,372,18,11,58,1317,13,0,0,30,0,19,591,839,2,1,4,0,0,0,81,11,12,17,1304,12,878,488,0,10,23,11,0,25,2,359,1055,0,0,21,1,1,1435,1,1,0,0,5,1259,164,0,9,32,1405,546,1031,67,1239,1200,262,767,50,532,236,1092,663,31,13,26,52,307,522,530,1.81,3.62,21.36,36.33,36.88,823,532,77,5,0,57.27,37.02,5.36,0.35,0
Bagmati,Nuwakot,Bidur,NP03,NP0328,NP0328301,6,946,882,43,20,1,102,619,218,5,2,55,875,0,0,0,16,0,0,429,517,0,0,0,0,0,0,57,8,8,5,867,1,473,307,0,57,12,97,0,0,0,300,621,13,0,12,0,0,939,3,4,0,0,1,931,2,0,12,29,917,368,677,16,664,754,151,601,26,370,185,743,424,14,7,20,32,222,284,388,2.11,3.38,23.47,30.02,41.01,504,385,48,9,0,53.28,40.7,5.07,0.95,0
Bagmati,Nuwakot,Bidur,NP03,NP0328,NP0328301,7,1057,1019,28,7,3,353,417,265,12,10,345,673,0,0,1,37,0,1,800,248,0,0,9,0,0,0,275,21,5,2,751,3,242,758,0,0,12,42,0,0,3,661,388,0,0,8,0,0,1056,1,0,0,0,9,1029,12,1,6,41,1016,550,738,34,863,794,161,595,24,245,56,451,267,8,2,72,154,319,277,235,6.81,14.57,30.18,26.21,22.23,327,438,282,10,0,30.94,41.44,26.68,0.95,0
Bagmati,Nuwakot,Bidur,NP03,NP0328,NP0328301,9,1903,1447,378,67,11,133,710,1038,16,6,54,1795,6,0,0,45,1,2,782,1105,7,5,4,0,0,0,73,21,9,35,1759,6,770,1047,0,4,9,62,9,1,1,330,1554,7,0,9,0,3,1890,11,1,1,0,12,1800,78,1,12,25,1878,680,1329,71,1284,1674,354,1385,64,675,183,1599,1002,82,20,15,31,255,750,852,0.79,1.63,13.4,39.41,44.77,1374,450,72,7,0,72.2,23.65,3.78,0.37,0
Bagmati,Nuwakot,Bidur,NP03,NP0328,NP0328301,10,869,865,3,1,0,105,601,152,7,4,167,676,2,2,1,20,0,1,557,308,1,0,1,2,0,0,161,11,5,3,686,3,424,370,0,0,3,69,1,2,0,456,412,0,0,1,0,0,868,0,1,0,0,7,826,21,4,11,19,850,384,585,19,754,638,104,519,26,280,44,519,281,9,1,33,97,224,261,254,3.8,11.16,25.78,30.03,29.23,321,439,106,3,0,36.94,50.52,12.2,0.35,0
Bagmati,Nuwakot,Bidur,NP03,NP0328,NP0328301,12,949,935,7,1,6,247,504,189,8,1,230,710,1,0,0,8,0,0,706,236,1,1,5,0,0,0,212,4,3,4,719,7,500,406,0,0,7,36,0,0,0,758,189,0,0,2,0,0,942,6,0,0,1,5,929,7,1,7,50,899,556,591,8,801,674,59,559,14,186,38,334,145,6,3,53,85,383,335,93,5.58,8.96,40.36,35.3,9.8,158,597,191,2,1,16.65,62.91,20.13,0.21,0.11
Bagmati,Nuwakot,Kispang,NP03,NP0328,NP0328402,5,915,894,13,7,1,78,541,277,16,3,81,797,2,1,1,33,0,0,581,333,0,0,1,0,0,0,80,4,1,3,826,1,384,503,0,0,2,26,0,0,0,512,402,0,0,1,0,0,906,5,2,0,2,5,723,174,1,12,53,862,328,499,2,634,611,57,82,11,103,21,310,163,2,4,39,55,430,329,62,4.26,6.01,46.99,35.96,6.78,319,499,90,7,0,34.86,54.54,9.84,0.77,0
Bagmati,Nuwakot,Tarakeshwor,NP03,NP0328,NP0328403,2,589,589,0,0,0,218,265,89,16,1,128,444,2,1,2,12,0,0,451,115,0,0,23,0,0,0,138,6,0,0,444,1,213,358,0,0,10,3,5,0,0,472,116,0,0,1,0,0,584,3,1,0,1,12,568,4,0,5,12,577,282,250,6,516,369,13,212,9,50,40,244,66,0,0,47,93,281,139,29,7.98,15.79,47.71,23.6,4.92,80,387,117,4,1,13.58,65.7,19.86,0.68,0.17
Bagmati,Nuwakot,Tarakeshwor,NP03,NP0328,NP0328403,4,677,668,7,1,1,221,250,193,13,0,203,461,2,0,2,9,0,0,484,188,1,0,4,0,0,0,192,5,3,2,474,1,299,347,0,0,21,9,1,0,0,476,147,1,0,52,0,1,666,8,1,0,2,9,627,34,1,6,24,653,400,325,1,596,400,19,190,9,71,13,217,67,0,0,83,109,267,170,48,12.26,16.1,39.44,25.11,7.09,137,372,165,3,0,20.24,54.95,24.37,0.44,0
Bagmati,Nuwakot,Belkotgadhi,NP03,NP0328,NP0328302,5,826,776,44,4,2,358,249,208,7,4,211,596,2,1,0,14,0,2,551,238,1,0,31,3,0,2,198,22,1,14,580,11,377,348,0,7,18,74,2,0,0,454,356,2,0,14,0,0,817,7,2,0,0,9,506,301,1,9,36,790,328,421,1,729,510,43,147,11,167,47,292,129,2,2,108,137,308,185,88,13.08,16.59,37.29,22.4,10.65,210,398,200,18,0,25.42,48.18,24.21,2.18,0
Bagmati,Nuwakot,Belkotgadhi,NP03,NP0328,NP0328302,7,1090,1044,42,1,3,130,497,459,3,1,131,950,2,0,0,7,0,0,489,592,1,0,8,0,0,0,128,12,8,6,933,3,634,114,0,166,75,98,0,2,1,332,750,1,0,7,0,0,1089,1,0,0,0,24,796,265,0,5,37,1053,427,679,5,863,741,66,233,42,270,77,672,257,5,1,74,58,303,465,190,6.79,5.32,27.8,42.66,17.43,456,512,113,8,1,41.83,46.97,10.37,0.73,0.09
Bagmati,Nuwakot,Belkotgadhi,NP03,NP0328,NP0328302,8,746,738,7,0,1,137,465,136,0,8,137,598,0,0,2,6,0,3,440,290,0,14,1,1,0,0,148,24,21,0,551,2,53,635,0,26,9,21,0,0,2,523,216,0,0,7,0,0,741,2,3,0,0,21,711,6,1,7,19,727,324,476,1,684,522,52,164,8,207,9,201,121,0,0,41,78,336,197,94,5.5,10.46,45.04,26.41,12.6,171,452,114,9,0,22.92,60.59,15.28,1.21,0
Bagmati,Chitawan,Ichchha Kamana,NP03,NP0335,NP0335401,3,822,717,99,5,1,245,352,194,25,6,243,520,22,2,0,12,0,23,564,245,7,0,5,0,0,1,273,7,3,0,535,4,309,446,2,0,4,58,2,0,1,277,541,3,0,1,0,0,801,7,1,0,13,2,423,371,5,21,45,777,278,455,8,697,539,103,265,39,139,70,370,202,9,0,123,128,225,174,172,14.96,15.57,27.37,21.17,20.92,283,270,245,23,1,34.43,32.85,29.81,2.8,0.12
Bagmati,Chitawan,Ichchha Kamana,NP03,NP0335,NP0335401,4,1127,793,323,7,4,158,478,468,22,1,149,955,6,5,0,12,0,0,627,490,3,0,6,1,0,0,167,2,2,4,952,0,695,418,1,1,5,5,1,1,0,265,860,1,0,1,0,0,1113,6,2,0,6,10,1099,5,3,10,27,1100,236,645,42,801,953,161,502,49,257,83,770,456,27,5,42,99,160,467,359,3.73,8.78,14.2,41.44,31.85,813,157,152,5,0,72.14,13.93,13.49,0.44,0
Gandaki,Gorkha,Shahid Lakhan,NP04,NP0436,NP0436408,2,675,607,61,4,3,239,200,230,5,1,246,420,5,0,0,3,0,1,391,279,1,0,4,0,0,0,232,13,2,2,425,1,397,88,0,0,0,187,2,0,1,318,353,4,0,0,0,0,668,6,1,0,0,121,478,73,2,1,15,660,456,479,30,561,536,60,455,20,47,3,172,179,7,0,47,110,175,198,145,6.96,16.3,25.93,29.33,21.48,200,247,220,8,0,29.63,36.59,32.59,1.19,0
Gandaki,Gorkha,Shahid Lakhan,NP04,NP0436,NP0436408,3,865,790,68,1,6,294,398,161,9,3,280,569,5,1,0,10,0,0,482,328,12,1,42,0,0,0,212,25,5,2,618,3,556,228,0,1,3,72,3,0,2,467,386,6,0,4,2,0,824,37,3,1,0,168,566,105,2,24,22,843,301,578,51,580,683,92,285,16,115,13,364,249,46,5,61,146,276,231,151,7.05,16.88,31.91,26.71,17.46,278,369,196,21,1,32.14,42.66,22.66,2.43,0.12
Gandaki,Gorkha,Shahid Lakhan,NP04,NP0436,NP0436408,4,739,709,25,2,3,482,184,57,15,1,421,286,12,8,1,10,0,1,601,54,3,0,80,0,0,1,308,9,0,1,418,3,482,236,0,0,7,12,1,0,1,533,200,1,0,4,0,1,712,18,2,0,7,5,714,12,2,6,23,716,151,411,5,580,542,38,89,12,63,9,178,92,0,2,86,248,257,114,34,11.64,33.56,34.78,15.43,4.6,93,346,295,4,1,12.58,46.82,39.92,0.54,0.14
Gandaki,Gorkha,Shahid Lakhan,NP04,NP0436,NP0436408,5,518,510,6,2,0,332,122,62,2,0,344,170,1,1,0,2,0,0,381,81,2,2,52,0,0,0,248,43,4,1,221,1,264,249,0,0,5,0,0,0,0,439,73,4,0,2,0,0,511,6,0,0,1,12,499,5,2,0,13,505,325,249,0,405,371,22,149,2,56,3,31,47,0,1,72,180,181,75,10,13.9,34.75,34.94,14.48,1.93,38,212,268,0,0,7.34,40.93,51.74,0,0
Gandaki,Gorkha,Shahid Lakhan,NP04,NP0436,NP0436408,6,961,928,30,1,2,607,230,117,6,1,543,398,0,2,4,13,0,1,715,203,0,0,42,0,0,1,459,24,11,5,455,7,464,311,0,3,8,167,6,0,2,658,265,1,0,34,1,2,952,5,2,1,1,13,823,115,3,7,22,939,431,409,5,846,515,37,249,7,61,7,94,99,1,0,238,241,280,154,48,24.77,25.08,29.14,16.02,4.99,147,348,444,22,0,15.3,36.21,46.2,2.29,0
Gandaki,Gorkha,Gandaki,NP04,NP0436,NP0436409,1,620,597,22,1,0,227,263,101,28,1,224,366,15,8,1,5,0,1,449,147,7,1,14,2,0,0,169,19,2,2,412,16,177,75,0,1,17,350,0,0,0,402,203,0,0,11,3,1,561,44,7,0,8,39,539,30,2,10,43,577,162,304,4,548,250,38,93,6,56,8,107,92,0,1,120,96,263,96,45,19.35,15.48,42.42,15.48,7.26,62,322,217,15,4,10,51.94,35,2.42,0.65
Gandaki,Gorkha,Gandaki,NP04,NP0436,NP0436409,2,815,799,13,1,2,465,256,87,6,1,375,417,6,1,0,14,0,2,703,103,0,0,9,0,0,0,182,5,5,1,617,5,199,534,0,0,3,77,1,0,1,641,170,0,0,4,0,0,799,10,1,0,5,18,612,180,0,5,30,785,164,380,4,732,485,23,89,7,53,2,62,43,1,0,116,209,365,106,19,14.23,25.64,44.79,13.01,2.33,55,528,222,10,0,6.75,64.79,27.24,1.23,0
Gandaki,Gorkha,Gandaki,NP04,NP0436,NP0436409,6,797,774,15,5,3,592,200,2,2,1,596,197,2,0,0,2,0,0,760,28,0,0,8,1,0,0,459,5,6,0,314,13,104,632,0,0,10,49,1,0,1,588,205,0,0,2,2,0,788,7,2,0,0,2,781,14,0,0,71,726,140,326,4,584,410,18,20,3,54,1,11,18,1,0,201,298,217,71,10,25.22,37.39,27.23,8.91,1.25,74,310,408,5,0,9.28,38.9,51.19,0.63,0
Gandaki,Gorkha,Gandaki,NP04,NP0436,NP0436409,7,674,660,8,2,4,246,384,40,4,0,216,456,2,0,0,0,0,0,436,225,1,1,11,0,0,0,147,21,11,3,490,2,18,641,0,0,12,0,0,0,3,304,367,0,0,3,0,0,660,12,1,0,1,7,655,8,3,1,27,647,158,433,5,616,475,45,281,6,102,2,394,110,1,0,70,93,163,240,108,10.39,13.8,24.18,35.61,16.02,301,232,141,0,0,44.66,34.42,20.92,0,0
Gandaki,Gorkha,Gandaki,NP04,NP0436,NP0436409,8,853,832,20,0,1,261,512,63,1,16,217,616,3,0,2,1,0,14,428,314,4,1,92,0,0,14,199,40,5,2,579,28,633,185,0,0,16,11,2,0,6,433,384,5,0,29,0,2,842,4,2,0,5,22,607,212,0,12,30,823,155,515,29,720,592,35,165,11,68,16,408,224,4,1,44,155,309,285,60,5.16,18.17,36.23,33.41,7.03,224,424,187,8,10,26.26,49.71,21.92,0.94,1.17
Gandaki,Tanahu,Devghat,NP04,NP0440,NP0440406,4,369,360,6,2,1,306,37,8,18,0,292,35,33,3,0,3,0,3,296,6,52,2,13,0,0,0,282,14,1,3,67,2,10,300,0,0,0,48,10,0,1,321,47,1,0,0,0,0,130,235,1,1,2,2,136,218,1,12,28,341,55,47,7,312,137,2,60,1,10,2,10,0,0,0,225,83,49,9,3,60.98,22.49,13.28,2.44,0.81,6,40,244,77,2,1.63,10.84,66.12,20.87,0.54
Gandaki,Tanahu,Devghat,NP04,NP0440,NP0440406,5,1854,1509,165,149,31,299,1056,397,93,9,120,1457,216,5,36,17,0,3,1305,519,18,1,5,2,0,4,254,14,14,26,1529,17,1109,600,0,13,23,85,5,1,18,509,1333,2,0,9,0,1,1770,52,14,2,16,12,1580,216,6,40,70,1784,612,979,50,1394,1379,197,808,52,557,421,1463,777,51,8,105,118,532,574,525,5.66,6.36,28.69,30.96,28.32,935,642,244,32,1,50.43,34.63,13.16,1.73,0.05
Gandaki,Tanahu,Aanbu Khaireni,NP04,NP0440,NP0440405,4,474,451,21,0,2,397,59,17,0,1,374,92,3,0,3,1,0,1,407,30,11,0,26,0,0,0,326,10,9,4,125,0,96,370,0,0,1,1,1,2,3,353,121,0,0,0,0,0,458,10,4,0,2,9,404,44,3,14,31,443,98,168,7,338,311,30,270,9,32,6,82,39,2,0,112,146,149,42,25,23.63,30.8,31.43,8.86,5.27,39,129,301,5,0,8.23,27.22,63.5,1.05,0
Gandaki,Tanahu,Aanbu Khaireni,NP04,NP0440,NP0440405,5,354,344,9,1,0,303,35,4,11,1,281,46,23,1,0,3,0,0,256,17,58,0,23,0,0,0,275,19,3,0,57,0,7,338,0,0,1,0,8,0,0,316,38,0,0,0,0,0,336,14,1,0,3,5,61,279,0,9,32,322,198,56,2,287,90,0,83,1,5,1,28,17,0,0,216,77,50,11,0,61.02,21.75,14.12,3.11,0,6,52,231,65,0,1.69,14.69,65.25,18.36,0
Gandaki,Nawalparasi East,Gaidakot,NP04,NP0447,NP0447304,2,2483,1284,1172,18,9,70,721,1674,9,9,65,2360,16,0,8,21,1,12,521,1952,5,3,1,1,0,0,50,18,26,195,2185,9,2058,382,21,1,8,8,2,0,3,84,2394,5,0,0,0,0,2466,10,4,0,3,22,1902,540,7,12,26,2457,705,1592,304,1562,2283,961,1834,155,1150,1096,2230,1504,425,84,17,36,214,821,1395,0.68,1.45,8.62,33.06,56.18,2055,351,67,10,0,82.76,14.14,2.7,0.4,0
Gandaki,Nawalparasi East,Gaidakot,NP04,NP0447,NP0447304,3,702,685,11,2,4,63,169,21,445,4,50,196,434,10,4,6,0,2,655,35,5,5,1,1,0,0,445,3,1,1,252,0,38,647,1,1,2,1,0,12,0,579,122,0,0,1,0,0,681,16,2,0,3,7,253,411,1,30,51,651,172,267,14,558,493,31,89,8,179,116,401,142,8,2,271,162,140,70,59,38.6,23.08,19.94,9.97,8.4,73,141,468,20,0,10.4,20.09,66.67,2.85,0
Gandaki,Nawalparasi East,Gaidakot,NP04,NP0447,NP0447304,5,1991,1460,514,9,8,50,579,1358,2,2,21,1961,4,0,1,2,0,2,394,1586,6,1,3,1,0,0,13,7,11,205,1750,5,1629,343,0,12,0,5,0,2,0,36,1942,8,0,5,0,0,1986,5,0,0,0,18,1884,86,1,2,9,1982,1340,1594,201,1311,1740,708,1569,173,1044,1059,1737,1456,449,113,0,6,94,526,1365,0,0.3,4.72,26.42,68.56,1843,137,11,0,0,92.57,6.88,0.55,0,0
Gandaki,Nawalparasi East,Gaidakot,NP04,NP0447,NP0447304,6,908,777,92,29,10,14,596,296,1,1,5,897,4,0,1,1,0,0,606,296,4,0,1,1,0,0,22,4,5,35,833,9,568,275,24,19,11,0,0,0,11,89,811,3,0,4,0,1,904,3,0,0,1,3,696,201,0,8,7,901,596,601,29,724,813,189,626,39,381,698,809,536,71,10,2,13,139,285,469,0.22,1.43,15.31,31.39,51.65,644,242,20,2,0,70.93,26.65,2.2,0.22,0
