province,district,municipality,adm1_pcode,adm2_pcode,adm3_pcode,ward,theme,rdna_affected,variable,value
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,sanitation,NA,toilet_flush_septic_tank,456
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,sanitation,NA,toilet_pit,44
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,sanitation,NA,toilet_public,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,sanitation,NA,toilet_no_toilet,1
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,household amenities,NA,hh_amenities_without,8
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,household amenities,NA,hh_amenities_at_least_one,495
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,household amenities,NA,hh_amenities_radio,304
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,household amenities,NA,hh_amenities_television,203
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,household amenities,NA,hh_amenities_landline,6
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,household amenities,NA,hh_amenities_mobile_phone_ordinary,479
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,household amenities,NA,hh_amenities_mobile_phone_smart,241
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,household amenities,NA,hh_amenities_computer_laptop,5
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,household amenities,NA,hh_amenities_internet,88
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,household amenities,NA,hh_amenities_car_jeep_van,5
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,household amenities,NA,hh_amenities_motorcycle_scooter,19
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,household amenities,NA,hh_amenities_bicycle,3
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,household amenities,NA,hh_amenities_electric_fan,1
