district,municipality,un_agencies
Dhading,Benighat Rorang,2
Dhading,Gajuri,4
Dhading,Galchhi,4
Dhading,Siddhalek,1
Dhading,NA,3
Gorkha,Gandaki,1
Nuwakot,Belkotgadhi,3
Nuwakot,Bidur,8
Nuwakot,Kispang,4
Nuwakot,Tarakeshwor,1
Nuwakot,NA,5
Rasuwa,Gosaikunda,6
Rasuwa,Kalika,4
Rasuwa,Uttargaya,6
Rasuwa,NA,5
Tanahu,Aanbu Khaireni,1
Tanahu,Devghat,1
