province,district,municipality,adm1_pcode,adm2_pcode,adm3_pcode,theme,variable,value
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,household amenities,hh_amenities_at_least_one,4179
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,household amenities,hh_amenities_radio,2792
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,household amenities,hh_amenities_television,1539
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,household amenities,hh_amenities_landline,64
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,household amenities,hh_amenities_mobile_phone_ordinary,3840
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,household amenities,hh_amenities_mobile_phone_smart,2429
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,household amenities,hh_amenities_computer_laptop,186
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,household amenities,hh_amenities_internet,1080
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,household amenities,hh_amenities_car_jeep_van,93
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,household amenities,hh_amenities_motorcycle_scooter,220
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,household amenities,hh_amenities_bicycle,51
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,household amenities,hh_amenities_electric_fan,55
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,household amenities,hh_amenities_refridgerator,86
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,household amenities,hh_amenities_washing_machine,17
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,household amenities,hh_amenities_air_conditioner,17
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,wealth quintile,wealth_quintile_poorest_quintile_count,1122
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,wealth quintile,wealth_quintile_poorer_quintile_count,1694
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,wealth quintile,wealth_quintile_middle_quintile_count,1274
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,wealth quintile,wealth_quintile_richer_quintile_count,249
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,wealth quintile,wealth_quintile_richest_quintile_count,60
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,wealth quintile,wealth_quintile_poorest_quintile_pc,25.51
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,wealth quintile,wealth_quintile_poorer_quintile_pc,38.51
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,wealth quintile,wealth_quintile_middle_quintile_pc,28.96
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,wealth quintile,wealth_quintile_richer_quintile_pc,5.66
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,wealth quintile,wealth_quintile_richest_quintile_pc,1.36
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,house_quality_most_adequate_count,36
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,house_quality_adequate_count,1643
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,house_quality_moderate_count,2672
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,house_quality_inadequate_count,45
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,house_quality_least_adequate_count,3
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,house_quality_most_adequate_pc,0.82
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,house_quality_adequate_pc,37.35
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,house_quality_moderate_pc,60.74
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,house_quality_inadequate_pc,1.02
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,house_quality_least_adequate_pc,0.07
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,demographics,total_households,4747
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,housing,home_ownership_owned,4579
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,housing,home_ownership_rented,138
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,housing,home_ownership_institutional,24
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,housing,home_ownership_other,6
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,housing,foundation_mud,3195
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,housing,foundation_mud_bonded_bricks_stone,1327
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,housing,foundation_cement_bonded_bricks_stone,170
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,housing,foundation_reinforced_cement_concrete_with_pillars,46
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,housing,foundation_wooden_pillars,9
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,housing,outer_wall_mud_bonded_bricks_stone,3358
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,housing,outer_wall_cement_bonded_bricks_stone,1249
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,housing,outer_wall_wood_planks,43
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,housing,outer_wall_bamboo,5
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,housing,outer_wall_unbaked_bricks,0
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,housing,outer_wall_galvanised_sheet,91
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,housing,outer_wall_prefabricated_sheet,0
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,housing,outer_wall_other,1
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,housing,roof_galvanised_sheet,4406
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,housing,roof_reinforced_cement_concrete,280
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,housing,roof_thatch_straw,4
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,housing,roof_tile,3
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,housing,roof_stone_slate,46
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,housing,roof_wood_planks,5
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,housing,roof_mud,0
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,housing,roof_other,3
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,housing,floor_mud,2560
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,housing,floor_wooden_plank_bamboo,106
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,housing,floor_bricks_stone,76
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,housing,floor_ceramic_tile,10
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,housing,floor_cemented,1974
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,housing,floor_other,21
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,drinking water,drinking_water_tap_piped_within_premises,1816
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,drinking water,drinking_water_tap_piped_outside_premises,2678
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,drinking water,drinking_water_tubewell_handpump,0
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,drinking water,drinking_water_covered_well_kuwa,39
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,drinking water,drinking_water_uncovered_well_kuwa,47
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,drinking water,drinking_water_spout_water,157
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,drinking water,drinking_water_river_stream,8
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,drinking water,drinking_water_jar_bottle,0
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,drinking water,drinking_water_other,2
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,cooking fuel,cooking_fuel_wood_firewood,4177
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,cooking fuel,cooking_fuel_lpg,561
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,cooking fuel,cooking_fuel_electricity,2
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,cooking fuel,cooking_fuel_cowdung,0
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,cooking fuel,cooking_fuel_biogas,5
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,cooking fuel,cooking_fuel_kerosene,2
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,cooking fuel,cooking_fuel_other,0
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,lighting fuel,lighting_electricity,4561
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,lighting fuel,lighting_solar,167
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,lighting fuel,lighting_kerosene,3
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,lighting fuel,lighting_biogas,1
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,lighting fuel,lighting_other,15
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,sanitation,toilet_flush_public_sewerage,28
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,sanitation,toilet_flush_septic_tank,3337
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,sanitation,toilet_pit,1336
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,sanitation,toilet_public,5
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,sanitation,toilet_no_toilet,41
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,household amenities,hh_amenities_without,510
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,household amenities,hh_amenities_at_least_one,4237
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,household amenities,hh_amenities_radio,2220
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,household amenities,hh_amenities_television,1520
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,household amenities,hh_amenities_landline,34
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,household amenities,hh_amenities_mobile_phone_ordinary,3440
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,household amenities,hh_amenities_mobile_phone_smart,2366
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,household amenities,hh_amenities_computer_laptop,116
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,household amenities,hh_amenities_internet,455
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,household amenities,hh_amenities_car_jeep_van,18
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,household amenities,hh_amenities_motorcycle_scooter,153
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,household amenities,hh_amenities_bicycle,23
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,household amenities,hh_amenities_electric_fan,88
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,household amenities,hh_amenities_refridgerator,103
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,household amenities,hh_amenities_washing_machine,6
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,household amenities,hh_amenities_air_conditioner,6
