province,district,municipality,adm1_pcode,adm2_pcode,adm3_pcode,ward,affected,theme,disaggregation,variable,value
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,1,affected,population projections 2026,male,age_group_70_74,17
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,1,affected,population projections 2026,female,age_group_70_74,15
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,1,affected,population projections 2026,total,age_group_75_79,21
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,1,affected,population projections 2026,male,age_group_75_79,11
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,1,affected,population projections 2026,female,age_group_75_79,10
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,1,affected,population projections 2026,total,age_group_80_84,11
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,1,affected,population projections 2026,male,age_group_80_84,5
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,1,affected,population projections 2026,female,age_group_80_84,6
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,1,affected,population projections 2026,total,age_group_85_89,5
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,1,affected,population projections 2026,male,age_group_85_89,2
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,1,affected,population projections 2026,female,age_group_85_89,3
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,1,affected,population projections 2026,total,age_group_90_94,0
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,1,affected,population projections 2026,male,age_group_90_94,0
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,1,affected,population projections 2026,female,age_group_90_94,0
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,1,affected,population projections 2026,total,age_group_95plus,0
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,1,affected,population projections 2026,male,age_group_95plus,0
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,1,affected,population projections 2026,female,age_group_95plus,0
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,total,population_total,1233
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,male,population_overall_male,569
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,female,population_overall_female,664
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,total,age_group_0_4,95
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,male,age_group_0_4,50
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,female,age_group_0_4,45
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,total,age_group_5_9,103
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,male,age_group_5_9,45
