province,district,municipality,adm1_pcode,adm2_pcode,adm3_pcode,theme,variable,value
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,male_65_69_yrs,292
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,male_70_74_yrs,218
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,male_75_79_yrs,142
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,male_80_84_yrs,76
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,male_85_89_yrs,45
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,male_90_94_yrs,7
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,male_95plus_yrs,2
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,female_all_ages,8142
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,female_00_04_yrs,552
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,female_05_09_yrs,667
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,female_10_14_yrs,738
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,female_15_19_yrs,744
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,female_20_24_yrs,731
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,female_25_29_yrs,655
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,female_30_34_yrs,504
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,female_35_39_yrs,465
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,female_40_44_yrs,512
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,female_45_49_yrs,409
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,female_50_54_yrs,485
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,female_55_59_yrs,383
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,female_60_64_yrs,396
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,female_65_69_yrs,305
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,female_70_74_yrs,262
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,female_75_79_yrs,193
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,female_80_84_yrs,87
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,female_85_89_yrs,38
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,female_90_94_yrs,11
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,female_95plus_yrs,5
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,school attendance,total_children_5_17,3726
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,school attendance,male_children_5_17,1915
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,school attendance,female_children_5_17,1811
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,school attendance,currently_attending_school_male,1782
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,school attendance,currently_attending_school_female,1710
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,school attendance,oos_ever_attended_school_male,101
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,school attendance,oos_ever_attended_school_female,65
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,school attendance,oos_never_attended_school_male,30
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,school attendance,oos_never_attended_school_female,36
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,school attendance,currently_attending_school_total_pc,93.72
